January 2018,,
Rank,Instructor's Code,Total revenue
1,Ruj.Nopparuj,50316.13
2,Oh.Pavinee,67250.68
3,Poy.Pornpat,48543.16
4,Nui.chang,35596.26
5,Poppy.Yang,29894.14
6,Aon.Kritsana,44755.22
7,Jeab.Nanlini,37874.23
8,samroeng,44346.85
9,Chachchai,40324.66
10,champ.itsanai,35875.31
11,Oh.Pavinee,41474.48
12,Jo.Nawaphon,30869.86
13,Naruemol,41569.67
14,Man.Thanakon,21318.66
15,M.L.Chaivat,30853.92
16,Top.Sutee,21199.05
17,Keerati.Panyanearamitdee,34534.66
18,Nong.Alongkon,28703.93
19,Ploy.Patchara,17509.18
20,New.Eakpob,32036.13
21,Ome.Chonlatid,27675.5
22,Aom.Santi,35813.43
23,Mew.Krisada,15364.8
24,Jyjy.Benyapa,30539.29
25,Aom.Santi,30039.93
26,Tor.surat,14923.06
27,Da.Preda,23721.85
28,M.L.Chaivat,13156.11
29,Jackie.Panom,12597.39
30,Nan.Nantpipat,31709.11
31,Jyjy.Benyapa,24007.5
32,Pipit.pipit,11715.56
33,Woratep,10853.14
34,Tum.Pitoon,10659.33
35,Gong.Somphob,10245.04
36,Pichart.Yapan,14316.78
37,Pichart.Yapan,14135.56
38,Jyjy.Benyapa,16133.04
39,Mongkon.Tuntisuk,7558.43
40,Ploy.Patchara,14163.45
41,Kaew.Rada,8894.71
42,Pang.Papawadee,8873.17
43,Pakorn,7150.65
44,Aom.Santi,14147.84
45,Tum.Pitoon,11531.46
46,Keerati.Panyanearamitdee,6581.55
47,Tum.Pitoon,6201.79
48,Phol.Teerasej,5542.85
49,Peng.Worawut,7247.68
50,Teddy.Lertporn,8316.2
51,Poppy.Yang,3938.1
52,Sit.Poompat,3876.12
53,Ung.Chaiwut,6391.03
54,Phol.Teerasej,4409.09
55,Nhow.Manit,3169.86
56,White.Waiwit,3168.99
57,Arthur.Kai,3100.12
58,Aof.Suebsakul,2907.09
59,Gao.Supachai,5243.24
60,Oh.Pavinee,4389.83
61,Ploy.Patchara,3979.22
62,Jern.Jiratchaya,2034.96
63,Vee.Veerachai,6418.14
64,Tar.Ruch,1824.57
65,Ying.Petchararat,1744.25
66,Ya.Suriya,3804.71
67,Pook.Wattanee,1385.84
68,Pon.Ekkasit,1375.27
69,Wichai,1259.74
70,Aom.Santi,2092.87
71,Khunpon.Ratchapon,1141.77
72,Tun.Tunchakon,1162.84
73,Vee.Manusvee,775.22
74,Att.Atthaphon,2511.45
75,Aun.Bundit,523.22
76,Nuong.Tanavit,484.51
77,Nan.Nantpipat,480.15
78,Aom.Santi,503.9
79,Garn.Gittipong,1124.07
80,Ning.Peerada,930.27
81,Ung.Chaiwut,387.61
82,Nan.Nantpipat,729.83
83,Wasan.Wasan,384.12
84,Aun.Bundit,348.81
85,Ton.Panus,348.81
86,Jo.Nawaphon,1141.55
87,Ping.titi,988.41
88,S.Atthawit,290.71
89,Tong.Pantit,290.71
90,Ploy.Patchara,547.37
91,Wan.Ritwan,662.61
92,Nat.Nattasira,261.61
93,Ton.Panus,261.61
94,X.Vorachai,682.26
95,Aun.Bundit,193.81
96,Ning.Nanthawadee,193.81
97,puff.Jaturong,193.81
98,S.Atthawit,193.81
99,Tawee.Kamonbutr,193.81
100,Wit.Narongwit,620.18
101,Woratep,193.81
102,Nan.Nantpipat,192.06
103,Big.sittichai,174.41
104,Peng.Worawut,296.49
105,Pin.Saypin,174.41
106,Ploy.Warossamon,174.41
107,Uay.UayChai,627.86
108,Bird.Pakorn,164.71
109,Pon.Ekkasit,155.01
110,Pichart.Yapan,230.53
111,Ed.Rattee,174.43
112,Film.Thanapat,96.9
113,Keerati.Panyanearamitdee,174.43
114,Krittin.Koolpeng,96.9
115,M.L.Chaivat,96.9
116,Nop.Noppamest,96.9
117,Peng.Worawut,96.9
118,Ton.Soravit,96.9
119,Ung.Chaiwut,184.12
120,Wat.Chaiwat,184.12
121,Ploy.Patchara,96.03
122,Wit.Chatuwit,96.03
123,Gap.Tharathorn,87.2
124,Miew.Nada,87.2
125,Pipit.pipit,87.2
126,pompam.saowapa,87.2
127,Gong.Somphob,77.5
128,Kaew.Rada,93
129,Oh.Pavinee,155.01
130,Top.Sutee,85.25
131,Tun.Tunchakon,116.25
132,Jyjy.Benyapa,149.17
133,Naruemol,142.39
134,Pon.Ekkasit,67.8
135,Keerati.Panyanearamitdee,63.05
136,NengFreeman.Apiwat,63.05
137,Pan.Katanyu,63.05
138,Pang.Papawadee,75.66
139,Woratep,63.05
140,Aun.Bundit,58.1
141,Da.Preda,98.78
142,Gong.Somphob,58.1
143,Khunpon.Ratchapon,69.72
144,Mew.Krisada,58.1
145,Nan.Nantpipat,151.07
146,New.Eakpob,110.4
147,Nong.Alongkon,92.96
148,Tong.Pantit,58.1
