December 2019,,
Rank,Instructor's Code,Revenue After VAT
1,a.nattapon.01,"2,370"
2,film.thanapat.01,"6,993"
3,nutnicha.bellydance.01,980
4,tor.surat.01,"2,997"
5,tor.surat.02,999
6,a.kullasin.01,"2,979"
7,a.nattapon.01,"133,616"
8,ahtapol.thongsima.01,"81,180"
9,air.natthakrit.01,"170,280"
10,ake.adisorn.01,"15,401"
11,ammy.pattamanan.01,990
12,aob.aobkwan.01,"20,230"
13,aob.aobkwan.05,"42,340"
14,aof.suebsakul.01,"4,995"
15,aof.suebsakul.02,"77,913"
16,aom.santi.01,"7,940"
17,aom.santi.02,"2,997"
18,aom.santi.03,"2,997"
19,aom.santi.05,"2,997"
20,aom.santi.06,"2,970"
21,aon.kritsana.01,"79,902"
22,aon.kritsana.02,"2,970"
23,aon.kritsana.03,"38,845"
24,aon.kritsana.04,"5,994"
25,att.atthaphon.01,899
26,att.atthaphon.02,"25,172"
27,beer.nattaya.01,"93,963"
28,beer.nattaya.02,"29,410"
29,big.sittichai.01,899
30,boong.tinnagorn.01,"128,871"
31,boy.chayanin.01,"8,990"
32,boy.startcourse.01,"113,850"
33,boy.startcourse.02,"286,713"
34,boy.startcourse.03,"4,995"
35,chachchai.01,"12,480"
36,champ.itsanai.01,"15,988"
37,champ.itsanai.02,"3,719"
38,da.preda.01,660
39,emmy.jirath.02,"55,944"
40,en.training.02,"180,810"
41,film.thanapat.01,"10,292"
42,fook.pichai.01,"26,739"
43,gao.supachai.01,"3,960"
44,garn.gittipong.01,"1,998"
45,golf.thanakrit.01,"1,980"
46,gong.somphob.01,990
47,goong.wina.01,"184,140"
48,goong.wina.02,"7,920"
49,hugo.sittichai.02,"1,285"
50,ing.anongphang.01,"10,140"
51,ing.anongphang.02,"4,194"
52,jack.narongdech.01,"104,940"
53,jackie.panom.01,"182,160"
54,jaow.nipaporn.01,"22,977"
55,jeab.nanlini.01,"1,499"
56,jen.jenphob.01,"37,398"
57,jern.jiratchaya.01,"35,964"
58,jo.nawaphon.02,"173,826"
59,jo.nawaphon.03,"89,900"
60,joey.soonthara.01,"7,929"
61,joke.warong.01,"3,500"
62,joke.warong.02,"3,495"
63,joke.warong.03,"40,770"
64,jyjy.benyapa.01,"20,907"
65,jyjy.benyapa.02,"3,090"
66,kaew.rada.01,"32,249"
67,kai.kanok.01,"122,760"
68,kai.kanok.02,"67,333"
69,kai.kanok.03,"26,274"
70,kaosuay.jaraskorn.01,"18,071"
71,kay.sukree.01,"2,970"
72,keerati.panyanearamitdee.01,"26,334"
73,keerati.panyanearamitdee.02,"25,340"
74,khunpon.ratchapon.01,990
75,kiat.kiattirat.01,"34,980"
76,kook.sattha.01,"27,473"
77,kook.sattha.02,"5,190"
78,kwan.lamwat.01,"411,588"
79,kwan.satha.01,"1,398"
80,lin.khwanjai.01,"112,887"
81,lukked.rapassa.01,"5,994"
82,m.l.chaivat.04,"1,989"
83,mac.rattanasuwan.01,"1,400"
