Feburday 2018,,
Rank,Instructor's Code,Total revenue
1,Nhow.Manit,"537,570"
2,Naruemol,"480,066"
3,Kwanrudee,"402,597"
4,Oh.Pavinee,"317,682"
5,Ruj.Nopparuj,"278,690"
6,Tum.Pitoon,"267,732"
7,Poy.Pornpat,"263,340"
8,Kwanrudee,"232,749"
9,Nui.chang,"225,649"
10,Poppy.Yang,"221,760"
11,Aom.Santi,"193,797"
12,Aom.Santi,"185,814"
13,champ.itsanai,"179,800"
14,Top.Sutee,"170,810"
15,Aon.Kritsana,"165,330"
16,Chachchai,"160,380"
17,Nong.Alongkon,"156,735"
18,samroeng,"147,266"
19,Mew.Krisada,"145,530"
20,New.Eakpob,"140,859"
21,Woratep,"137,862"
22,Ploy.Patchara,"137,694"
23,Ome.Chonlatid,"130,869"
24,X.Pacapol,"127,872"
25,Pipit.pipit,"125,874"
26,Jo.Nawaphon,"124,062"
27,Tor.surat,"123,876"
28,Keerati.Panyanearamitdee,"120,879"
29,Aom.Santi,"118,881"
30,M.L.Chaivat,"115,884"
31,Man.Thanakon,"109,890"
32,M.L.Chaivat,"104,949"
33,Jackie.Panom,"103,896"
34,Kwanrudee,"102,897"
35,Att.Atthaphon,"97,991"
36,Pakorn,"96,193"
37,Gong.Somphob,"90,640"
38,Da.Preda,"71,928"
39,Jyjy.Benyapa,"70,290"
40,Aom.Santi,"63,936"
41,Aom.Santi,"60,939"
42,Ploy.Patchara,"55,650"
43,Peng.worawut,"54,839"
44,Pang.Papawadee,"49,500"
45,Golf.Thanakrit,"48,951"
46,Sit.Poompat,"38,961"
47,Jeab.Nanlini,"37,816"
48,Att.Atthaphon,"37,758"
49,Kaew.Rada,"34,162"
50,Ung.Chaiwut,"33,579"
51,Poppy.Yang,"32,670"
52,Aom.Santi,"28,971"
53,Teddy.Lertporn,"27,279"
54,Ung.Chaiwut,"26,970"
55,Tar.Ruch,"23,760"
56,Aom.Santi,"21,978"
57,Nan.Nantpipat,"20,790"
58,Phol.Teerasej,"19,980"
59,Keerati.Panyanearamitdee,"18,981"
60,Att.Atthaphon,"18,879"
61,Golf.Thanakrit,"17,982"
62,Nub.Inearbeat,"16,983"
63,Ying.Petchararat,"16,983"
64,Jern.Jiratchaya,"15,984"
65,Pichart.Yapan,"10,990"
66,Pon.Ekkasit,"10,990"
67,Golf.Thanakrit,"10,989"
68,Mongkon.Tuntisuk,"10,989"
69,Khunpon.Ratchapon,"10,890"
70,Mai.Piyavalee,"10,320"
71,Ploy.Patchara,"9,156"
72,Vee.Veerachai,"8,091"
73,Aom.Santi,"7,992"
74,Ya.Suriya,"7,920"
75,Mai.Piyavalee,"7,740"
76,Tun.Tunchakon,"6,993"
77,Wichai,"6,993"
78,Pook.Wattanee,"6,594"
79,Tong.Pantit,"5,994"
80,Jo.Nawaphon,"5,495"
81,Uay.UayChai,"5,394"
82,Aof.Suebsakul,"4,995"
83,Ung.Chaiwut,"4,995"
84,Wat.Chaiwat,"4,995"
85,Aom.Santi,"3,996"
86,Garn.Gittipong,"3,996"
87,Ung.Chaiwut,"3,996"
88,Vee.Manusvee,"3,996"
89,X.Pacapol,"3,996"
90,Aun.Bundit,"3,596"
91,Arthur.Kai,"3,196"
92,Nuong.Tanavit,"2,997"
93,X.Pacapol,"2,997"
94,X.Pacapol,"2,997"
95,Ploy.Warossamon,"2,697"
96,X.Pacapol,"2,600"
97,Ploy.Patchara,"2,289"
98,Pakorn,"2,198"
99,Aom.Santi,"1,998"
100,Krittin.Koolpeng,"1,998"
101,M.L.Chaivat,"1,998"
102,Ning.Peerada,"1,998"
103,Ung.Chaiwut,"1,998"
104,Ung.Chaiwut,"1,998"
105,X.Pacapol,"1,998"
106,X.Pacapol,"1,998"
107,Gao.Supachai,"1,989"
108,Aon.Kritsana,"1,980"
109,Wan.Ritwan,"1,980"
110,White.Waiwit,"1,980"
111,Miew.Nada,"1,898"
112,Aom.Santi,"1,798"
113,Aun.Bundit,"1,798"
114,Kwang.Arrak,"1,598"
115,X.Pacapol,"1,398"
116,X.Pacapol,"1,398"
117,Aom.Santi,999
118,Ed.Rattee,999
119,Film.Thanapat,999
120,HeaLong.Jarint,999
121,NengFreeman.Apiwat,999
122,Ning.Nanthawadee,999
123,Nub.Inearbeat,999
124,Pu.Sirakan,999
125,S.Atthawit,999
126,Ton.Panus,999
127,Tum.Pitoon,999
128,Woratep,999
129,X.Pacapol,999
130,Nan.Nantpipat,990
131,Nan.Nantpipat,990
132,Sarun.Sarun,990
133,Wit.Chatuwit,990
134,Att.Atthaphon,899
135,Big.sittichai,899
136,Peng.worawut,899
137,Pin.Saypin,899
138,Ton.Panus,899
139,Ton.Panus,899
140,Att.Atthaphon,799
141,Golf.Thanakrit,799
142,Kwanrudee,799
143,X.Pacapol,799
144,Aom.Santi,599
145,X.Pacapol,599
146,Aun.Bundit,0
147,Aun.Bundit,0
148,Bird.Pakorn,0
149,Da.Preda,0
150,Gap.Tharathorn,0
151,Gong.Somphob,0
152,Gong.Somphob,0
153,Jyjy.Benyapa,0
154,Keerati.Panyanearamitdee,0
155,Keerati.Panyanearamitdee,0
156,Khunpon.Ratchapon,0
157,Nan.Nantpipat,0
158,Nan.Nantpipat,0
159,Naruemol,0
160,Nat.Nattasira,0
161,New.Eakpob,0
162,Nop.Noppamest,0
163,Pakorn,0
164,Pan.Katanyu,0
165,Peng.worawut,0
166,Ping.titi,0
167,Pipit.pipit,0
168,Ploy.Patchara,0
169,pompam.saowapa,0
170,Pon.Ekkasit,0
171,Pon.Ekkasit,0
172,Por.Kantakan,0
173,Por.Kantakan,0
174,puff.Jaturong,0
175,Tawee.Kamonbutr,0
176,Thong.Thongpanchang,0
177,Tong.Pantit,0
178,Top.Sutee,0
179,Tum.Pitoon,0
180,Tun.Tunchakon,0
181,Wasan.Wasan,0
182,Wit.Narongwit,0
183,Woratep,0
,,"8,075,462.00"
