March 2018,,
Rank,Instructor's Code,Total revenue
1,Naruemol,"927,768.00"
2,Kwanrudee,"465,534.00"
3,Poppy.Yang,"402,939.00"
4,Beer.Nattaya,"390,609.00"
5,Ruj.Nopparuj,"317,347.00"
6,Oh.Pavinee,"288,711.00"
7,Keerati.Panyanearamitdee,"279,720.00"
8,Poy.Pornpat,"256,410.00"
9,Pang.Phitsanukhom,"228,771.00"
10,Beer.Nattaya,"213,786.00"
11,Aon.Kritsana,"206,919.00"
12,Aom.Santi,"204,795.00"
13,Golf.Thanakrit,"194,805.00"
14,Tum.Pitoon,"189,810.00"
15,Champ.Itsanai,"187,891.00"
16,Pang.Phitsanukhom,"170,829.00"
17,Jyjy.Benyapa,"168,300.00"
18,Jo.Nawaphon,"160,022.00"
19,Aom.Santi,"148,851.00"
20,Aom.Santi,"144,855.00"
21,Top.Sutee,"138,446.00"
22,Pakorn,"126,759.00"
23,Ploy.Patchara,"125,803.00"
24,Pipit.pipit,"118,881.00"
25,Nong.Alongkon,"118,599.00"
26,Chachchai,"115,830.00"
27,Gong.Somphob,"109,120.00"
28,Samroeng,"105,504.00"
29,Man.Thanakon,"102,897.00"
30,New.Eakpob,"102,897.00"
31,Nui.chang,"102,486.00"
32,Woratep,"86,913.00"
33,Mew.Krisada,"75,240.00"
34,Pang.Phitsanukhom,"72,927.00"
35,Att.Atthaphon,"70,122.00"
36,Pang.Papawadee,"61,380.00"
37,Kaew.Rada,"61,132.00"
38,Nhow.Manit,"56,439.00"
39,M.L.Chaivat,"55,449.00"
40,Peng.Worawut,"54,839.00"
41,Naruemol,"52,470.00"
42,M.L.Chaivat,"50,949.00"
43,Ome.Chonlatid,"48,951.00"
44,Beer.Nattaya,"43,956.00"
45,Ying.Petchararat,"42,957.00"
46,Da.Preda,"40,959.00"
47,Mongkon.Tuntisuk,"36,963.00"
48,Ung.Chaiwut,"36,963.00"
49,Tor.surat,"34,965.00"
50,Tum.Pitoon,"33,966.00"
51,Poppy.Yang,"33,660.00"
52,Jackie.Panom,"31,868.00"
53,Teddy.Lertporn,"22,083.00"
54,Pichart.Yapan,"21,980.00"
55,Vee.Manusvee,"18,981.00"
56,Tar.Ruch,"17,829.00"
57,Nan.Nantpipat,"17,820.00"
58,Naruemol,"17,820.00"
59,Nuong.Tanavit,"16,983.00"
60,Keerati.Panyanearamitdee,"14,985.00"
61,Phol.Teerasej,"13,986.00"
62,Jeab.Nanlini,"13,916.00"
63,Aom.Santi,"10,989.00"
64,Khunpon.Ratchapon,"10,890.00"
65,Tun.Tunchakon,"9,990.00"
66,Ya.Suriya,"9,900.00"
67,Vee.Veerachai,"8,990.00"
68,Gao.Supachai,"6,930.00"
69,Tong.Pantit,"5,994.00"
70,Sit.Poompat,"4,995.00"
71,Tor.surat,"4,995.00"
72,Naruemol,"4,950.00"
73,Man.Thanakon,"3,897.00"
74,Uay.UayChai,"3,596.00"
75,Jo.Nawaphon,"3,297.00"
76,Aof.Suebsakul,"2,997.00"
77,Jern.Jiratchaya,"2,997.00"
78,Paeng.Sakda,"2,997.00"
79,Ung.Chaiwut,"2,997.00"
80,Wichai,"2,997.00"
81,Att.Atthaphon,"2,697.00"
82,Aun.Bundit,"2,697.00"
83,Peng.Worawut,"2,697.00"
84,Ploy.Warossamon,"2,697.00"
85,Ploy.Patchara,"2,598.00"
86,Aom.Santi,"2,397.00"
87,Pon.Ekkasit,"2,198.00"
88,Pook.Wattanee,"2,198.00"
89,Krittin.Koolpeng,"1,998.00"
90,M.L.Chaivat,"1,998.00"
91,Mook.Mookdawadee,"1,998.00"
92,Pop.Chake,"1,998.00"
93,Ying.Petchararat,"1,998.00"
94,Miew.Nada,"1,898.00"
95,Ton.Panus,"1,798.00"
96,Ung.Chaiwut,"1,798.00"
97,Ung.Chaiwut,"1,599.00"
98,Mai.Piyavalee,"1,290.00"
99,X.Vorachai,"1,099.00"
100,Aom.Santi,999.00
101,Aom.Santi,999.00
102,Garn.Gittipong,999.00
103,Pu.Sirakan,999.00
104,S.Atthawit,999.00
105,Tai.Boontarika,999.00
106,Tum.Pitoon,999.00
107,Tum.Pitoon,999.00
108,Ung.Chaiwut,999.00
109,Ung.Chaiwut,999.00
110,Woratep,999.00
111,Nan.Nantpipat,990.00
112,Nan.Nantpipat,990.00
113,Wasan.Wasan,990.00
114,Big.Sittichai,899.00
115,Big.Sittichai,899.00
116,Nong.Chuanphit,899.00
117,Pin.Saypin,899.00
118,Pompam.Saowapa,899.00
119,Ton.Panus,899.00
120,Ton.Panus,899.00
121,Arthur.Kai,799.00
122,Aom.Santi,0.00
123,Aun.Bundit,0.00
124,Aun.Bundit,0.00
125,Aun.Bundit,0.00
126,Bird.Pakorn,0.00
127,Da.Preda,0.00
128,Ed.Rattee,0.00
129,Film.Thanapat,0.00
130,Gap.Tharathorn,0.00
131,Gong.Somphob,0.00
132,Gong.Somphob,0.00
133,HeaLong.Jarint,0.00
134,Jyjy.Benyapa,0.00
135,Keerati.Panyanearamitdee,0.00
136,Keerati.Panyanearamitdee,0.00
137,Khunpon.Ratchapon,0.00
138,Kwang.Arrak,0.00
139,Nan.Nantpipat,0.00
140,Nan.Nantpipat,0.00
141,Naruemol,0.00
142,Nat.Nattasira,0.00
143,NengFreeman.Apiwat,0.00
144,New.Eakpob,0.00
145,Nong.Alongkon,0.00
146,Nop.Noppamest,0.00
147,Nub.Inearbeat,0.00
148,Pakorn,0.00
149,Pan.Katanyu,0.00
150,Peng.Worawut,0.00
151,Ploy.Patchara,0.00
152,Ploy.Patchara,0.00
153,Por.Kantakan,0.00
154,Por.Kantakan,0.00
155,Puff.Jaturong,0.00
156,Sarun.Sarun,0.00
157,Tungnk,0.00
158,Ung.Chaiwut,0.00
159,Wan.Ritwan,0.00
160,White.Waiwit,0.00
161,Wit.Narongwit,0.00
162,X.Pacapol,0.00
163,Ying.Petchararat,0.00
164,Ying.Petchararat,0.00
,,"8,240,445.00"
