June 2018,,
Rank,Instructor's Code,Revenue After VAT
1,kai.kanok,"681,905.61"
2,kiat.kiattirat,"513,513.08"
3,naruemol,"501,591.59"
4,nook.lapatrada,"444,414.95"
5,nhow.manit,"408,028.04"
6,mew.krisada,"284,971.96"
7,m.l.chaivat,"247,407.48"
8,tai.boontarika,"246,482.24"
9,pang.phitsanukhom,"243,681.31"
10,beer.nattaya,"231,543.93"
11,poppy.yang,"226,682.24"
12,jo.nawaphon,"210,886.92"
13,kwanrudee,"182,994.39"
14,vichai.vongsilpavattana,"182,279.44"
15,mew.krisada,"180,570.09"
16,khunpon.ratchapon,"180,428.97"
17,oh.pavinee,"175,525.23"
18,samroeng,"164,336.45"
19,chachchai,"160,999.07"
20,tong.pantit,"156,852.34"
21,champ.itsanai,"137,790.65"
22,jo.nawaphon,"137,790.65"
23,wichai,"126,042.06"
24,att.atthaphon,"126,028.04"
25,gong.somphob,"122,542.06"
26,tor.surat,"120,280.37"
27,nui.chang,"115,945.79"
28,ying.petchararat,"112,878.50"
29,jo.nawaphon,"110,904.67"
30,mind.english,"105,493.46"
31,kaew.rada,"102,502.80"
32,teddy.lertporn,"101,662.62"
33,champ.itsanai,"100,858.88"
34,golf.thanakrit,"100,825.23"
35,man.thanakon,"91,497.20"
36,pompam.saowapa,"91,495.33"
37,mai.piyavalee,"91,382.24"
38,pang.papawadee,"90,496.26"
39,jo.nawaphon,"89,900.00"
40,poy.pornpat,"88,822.43"
41,aom.santi,"86,261.68"
42,up.lalana,"83,271.03"
43,ying.petchararat,"76,794.39"
44,ploy.patchara,"76,483.18"
45,man.thanakon,"74,691.59"
46,mai.piyavalee,"71,130.84"
47,jeab.nanlini,"69,087.85"
48,suhari.graphic,"66,288.79"
49,ahtapol.thongsima,"65,691.59"
50,tum.pitoon,"65,557.01"
51,film.thanapat,"64,421.50"
52,mew.krisada,"63,360"
53,ploy.patchara,"63,128.97"
54,da.preda,"61,612.15"
55,aom.santi,"59,532.71"
56,pop.chake,"56,018.69"
57,poppy.yang,"55,514.02"
58,level.up,"55,085.05"
59,satapol.eta,"54,436.45"
60,wichai,"54,151.40"
61,tum.pitoon,"53,046.73"
62,top.sutee,"52,931.78"
63,tar.ruch,"51,333.64"
64,wit.narongwit,"48,730.84"
65,tum.pitoon,"44,814.95"
66,nui.chang,"41,169.16"
67,tor.surat,"37,328.97"
68,keerati.panyanearamitdee,"32,330.84"
69,ruj.nopparuj,"31,927.10"
70,nop.noppadon,"31,743.93"
71,pipit.pipit,"28,942.99"
72,woratep,"28,000.93"
73,kai.kanok,"27,731.78"
74,ploy.patchara,"25,109.35"
75,aon.kritsana,"23,139.25"
76,gao.supachai,"22,205.61"
77,aom.santi,"19,810.28"
78,tawee.kamonbutr,"18,656.07"
79,new.eakpob,"16,805.61"
80,pakorn,"16,057.01"
81,mai.laddawan,"15,871.96"
82,aon.kritsana,"15,728.97"
83,m.l.chaivat,"14,938.32"
84,sit.poompat,"14,913.08"
85,film.thanapat,"11,811.21"
86,mind.english,"11,207.48"
87,nuong.tanavit,"11,203.74"
88,pich.pichaya,"11,203.74"
89,aom.santi,"10,742.99"
90,ja.sumalee,"9,252.34"
91,ome.chonlatid,"8,402.80"
92,vee.veerachai,"8,401.87"
93,m.l.chaivat,"8,335.51"
94,m.l.chaivat,"8,327.11"
95,pichart.yapan,"8,216.82"
96,vee.manusvee,"6,535.51"
97,ammy.pattamanan,"6,476.64"
98,ya.suriya,"6,476.64"
99,chachchai,"6,252.34"
100,ploy.patchara,"4,953.27"
101,aom.santi,"4,668.22"
102,nui.chang,"4,668.22"
103,mongkon.tuntisuk,"3,734.58"
104,ying.petchararat,"3,734.58"
105,att.atthaphon,"3,360.75"
106,jo.nawaphon,"3,081.31"
107,tum.pitoon,"2,800.93"
108,aom.santi,"2,775.70"
109,ome.chonlatid,"2,709.35"
110,ploy.patchara,"2,476.64"
111,kwang.arrak,"2,334.58"
112,jo.nawaphon,"1,960.75"
113,ning.peerada,"1,867.29"
114,sit.poompat,"1,867.29"
115,naruemol,"1,850.47"
116,pakorn,"1,850.47"
117,ploy.patchara,"1,850.47"
118,noi.nareesa,"1,680.37"
119,ploy.patchara,"1,214.02"
120,ploy.patchara,"1,205.61"
121,pakorn,"1,027.10"
122,x.vorachai,"1,027.10"
123,aom.santi,933.64
124,aom.santi,933.64
125,keerati.panyanearamitdee,933.64
126,kiat.kiattirat,933.64
127,m.l.chaivat,933.64
128,nop.noppadon,933.64
129,ton.panus,933.64
130,vee.manusvee,933.64
131,wat.chaiwat,933.64
132,ying.petchararat,933.64
133,kwanrudee,933.64
134,tee.chakapong,925.23
135,big.sittichai,840.19
136,nat.nattasira,840.19
137,ton.panus,840.19
,,"10,031,284.25"
