July 2018,,
Rank,Instructor's Code,Revenue After VAT
1,naruemol,443618.69
2,kai.kanok,399709.35
3,kai.kanok,320456.07
4,pang.phitsanukhom,297832.7103
5,nhow.manit,284046.73
6,da.preda,278217.76
7,kiat.kiattirat,276644.86
8,mai.piyavalee,270412.15
9,ploy.patchara,269512.15
10,tai.boontarika,264221.5
11,ahtapol.thongsima,241502.8
12,kwanrudee,227800.93
13,jo.nawaphon,225170.09
14,jyjy.benyapa,222064.49
15,jo.nawaphon,215088.79
16,poppy.yang,192448.6
17,tor.surat,187654.21
18,mai.laddawan,185795.33
19,tum.pitoon,182242.06
20,winner.estate,174877.57
21,samroeng,160228.04
22,jyjy.benyapa,159157.01
23,winner.estate,150813.08
24,chachchai,147112.15
25,man.thanakon,146582.24
26,nook.lapatrada,141914.02
27,nui.chang,139471.03
28,sit.poompat,136942.99
29,joey.soonthara,135378.5
30,jo.nawaphon,131254
31,khunpon.ratchapon,130457.94
32,joey.soonthara,128842.99
33,beer.nattaya,124174.77
34,nong.alongkon,118572.9
35,jack.narongdech,116587.85
36,gong.somphob,115242.99
37,att.atthaphon,115105.61
38,keerati.panyanearamitdee,111865.42
39,oh.pavinee,107369.16
40,poppy.yang,104551.4
41,teddy.lertporn,104183.18
42,tong.pantit,103634.58
43,m.l.chaivat,99900
44,champ.itsanai,99142.06
45,champ.itsanai,99000
46,mind.english,91488.79
47,tor.surat,88839.25
48,ploy.patchara,84858.88
49,vichai.vongsilpavattana,83271.03
50,aom.santi,82345.79
51,pipit.pipit,79359.81
52,pompam.saowapa,77696.26
53,nan.nantpipat,75490.65
54,pang.papawadee,69989.72
55,kaew.rada,68988.79
56,poj.suttipoj,63014.02
57,suhari.graphic,61620.56
58,tum.pitoon,57058.88
59,wichai,52284.11
60,ammy.pattamanan,50887.85
61,aom.santi,47383.18
62,aom.santi,47383.18
63,ploy.patchara,45009.35
64,joey.soonthara,43881.31
65,top.sutee,40351.4
66,nong.chuanphit,39213.08
67,aom.santi,33308.41
68,aom.santi,33308.41
69,mind.english,28009.35
70,up.lalana,27757.01
71,jern.jiratchaya,25208.41
72,kaew.rada,22205.61
73,ya.suriya,22205.61
74,mongkol.astro,21473.83
75,nop.noppadon,21473.83
76,aon.kritsana,21280.37
77,new.eakpob,18672.9
78,pop.chake,17739.25
79,poy.pornpat,15794.39
80,ouan.kiratinant,15794.39
81,ome.chonlatid,14938.32
82,sit.poompat,14904.67
83,nuong.tanavit,14004.67
84,woratep,13071.03
85,nan.nantpipat,12061.68
86,film.thanapat,10270.09
87,man.thanakon,10270.09
88,nook.lapatrada,10270.09
89,peng.worawut,10175.7
90,pakorn,9252.34
91,ruj.nopparuj,9242.06
92,poppy.yang,8504.67
93,wit.chatuwit,8504.67
94,film.thanapat,8402.8
95,golf.thanakrit,8309.35
96,ying.petchararat,7401.87
97,pichart.yapan,7189.72
98,pakorn,5881.31
99,pang.papawadee,5857.01
100,vee.veerachai,5041.12
101,aom.santi,4668.22
102,aom.santi,4578.5
103,wit.narongwit,4200.93
104,jo.nawaphon,3081.31
105,nan.nantpipat,2775.7
106,ya.suriya,2775.7
107,chachchai,2663.55
108,att.atthaphon,2520.56
109,nop.noppamest,2054.21
110,x.vorachai,2054.21
111,aom.santi,1867.29
112,krittin.koolpeng,1867.29
113,mani.maneekanya,1867.29
114,tum.pitoon,1867.29
115,m.l.chaivat,1850.47
116,aon.kritsana,1850.47
117,nan.nantpipat,1850.47
118,nong.alongkon,1850.47
119,aom.santi,1822.43
120,aom.santi,1822.43
121,ome.chonlatid,1775.7
122,keerati.panyanearamitdee,1400
123,keerati.panyanearamitdee,1214.95
124,aom.santi,1214.95
125,m.l.chaivat,1027.1
126,ning.peerada,933.64
127,nong.alongkon,933.64
128,ouan.kiratinant,933.64
129,ton.panus,933.64
130,tum.pitoon,933.64
131,ying.petchararat,933.64
132,m.l.chaivat,925.23
133,mai.piyavalee,925.23
134,nan.nantpipat,925.23
135,naruemol,925.23
136,winner.estate,925.23
137,peng.worawut,840.19
138,ton.panus,840.19
139,aom.santi,0
140,aom.santi,0
141,aon.kritsana,0
142,keerati.panyanearamitdee,0
143,m.l.chaivat,0
144,peng.worawut,0
145,woratep,0
146,tum.pitoon,0
