September 2018,,
Rank,Instructor's Code,Revenue After VAT
1,pote.sompote,546821.5
2,beer.nattaya,510703.74
3,naruemol,413371.96
4,goong.wina,403401.87
5,oh.pavinee,393065.42
6,pang.phitsanukhom,385595.33
7,poppy.yang,383046.73
8,ya.suriya,351050.47
9,mind.english,300633.64
10,pipit.pipit,288496.26
11,jack.narongdech,287756.07
12,nong.chuanphit,284761.68
13,mai.piyavalee,251688.79
14,nid.chanidaba,248434.58
15,tor.surat,241814.02
16,top.sutee,204913.08
17,tum.nuttawut,201666.36
18,joey.soonthara,186897.2
19,up.lalana,184138.32
20,nut.nuttawat,164700
21,winner.estate,163766.36
22,tor.surat,160990.65
23,att.atthaphon,160475.7
24,ahtapol.thongsima,158231.78
25,nook.lapatrada,154985.05
26,jackie.panom,150829.91
27,nong.alongkon,143719.6262
28,da.preda,143719.6262
29,kaew.rada,143719.6262
30,ya.suriya,143719.6262
31,suhari.graphic,140046.73
32,mind.english,126975.7
33,ya.suriya,124275.7
34,aon.kritsana,124275.7
35,meen.thetarot,124174.77
36,aof.suebsakul,120398.13
37,jyjy.benyapa,119355.14
38,gong.somphob,105476.64
39,pae.santapol,101971.03
40,mongkol.astro,98032.71
41,kwanrudee,95231.78
42,yut.sensei,94990.65421
43,yut.sensei,94990.65421
44,jaow.nipaporn,93364.49
45,kai.kanok,89357.94
46,samroeng,88330.84
47,golf.thanakrit,87762.62
48,aom.santi,84504.67
49,aom.santi,84504.67
50,tum.pitoon,83887.85
51,jeed.pienporn,76558.88
52,kay.sukree,69392.52
53,white.waiwit,66906
54,kai.kanok,65691.59
55,champ.itsanai,57972.9
56,toey.panida,51342.06
57,pang.papawadee,49037.38
58,teddy.lertporn,47890.65
59,aon.kritsana,47271.03
60,pompam.saowapa,46662.62
61,poy.pornpat,46452.34
62,film.thanapat,46378.5
63,nhow.manit,44411.21
64,poppy.yang,41872.9
65,poppy.yang,41805.61
66,hugo.sittichai,41080.37
67,name.pongsakorn,41080.37
68,teddy.lertporn,40328.97
69,tong.pantit,40146.73
70,tum.pitoon,39910.28
71,tum.pitoon,39845.79
72,si.yoga,37337.38
73,samroeng,36424.29907
74,champ.itsanai,36424.29907
75,ploy.patchara,35287.85
76,aof.suebsakul,35158.88
77,mew.krisada,32383.18
78,a.nattapon,30614.95
79,nong.alongkon,30224.29907
80,kiat.kiattirat,30224.29907
81,oh.pavinee,29876.64
82,ploy.patchara,29136.45
83,aom.santi,26523.36
84,aom.santi,26523.36
85,kwan.satha,25906.54
86,m.l.chaivat,25207.48
87,mai.piyavalee,24989.72
88,nong.alongkon,24274.77
89,jyjy.benyapa,22227.1028
90,jyjy.benyapa,22227.1028
91,nan.nantpipat,22227.1
92,ning.nanthawadee,20971.96262
93,ying.petchararat,20971.96262
94,poppy.yang,20317.75701
95,wit.chatuwit,20317.75701
96,nan.nantpipat,19488.79
97,mac.rattanasuwan,18672.9
98,keerati.panyanearamitdee,18318.69159
99,keerati.panyanearamitdee,18289.71963
100,mai.piyavalee,17739.25
101,hugo.sittichai,16813.08
102,nan.nantpipat,16805.61
103,a.nattapon,16800
104,ammy.pattamanan,16654.21
105,ping.titi,14579.43925
106,film.thanapat,14004.67
107,mai.piyavalee,14004.67
108,suhari.graphic,14004.67
109,man.thanakon,12616.82243
110,man.thanakon,12616.82243
111,da.preda,12095.33
112,ome.chonlatid,11203.74
113,film.thanapat,9336.45
114,mai.laddawan,8402.8
115,tai.boontarika,8402.8
116,man.thanakon,7937.38
117,a.nattapon,7728.97
118,pat.phatraporn,7469.16
119,joke.warong,7401.87
120,nan.nantpipat,6501.87
121,tar.ruch,6493.46
122,poppy.yang,6476.64
123,noi.nareesa,6068.22
124,kaew.rada,5881.3
125,new.eakpob,5601.87
126,aof.suebsakul,5601.87
127,aon.kritsana,5551.4
128,aom.santi,4934.579439
129,nop.noppadon,4934.579439
130,nook.lapatrada,4668.22
131,tum.pitoon,4668.22
132,aof.suebsakul,4668.22
133,champ.itsanai,4626.17
134,nutnicha.bellydance,4616.82
135,ploy.patchara,4186.92
136,aof.suebsakul,3734.58
137,aom.santi,3709.35
138,aof.suebsakul,3700.93
139,tum.pitoon,3642.06
140,man.thanakon,3549.53
141,ung.chaiwut,3360.75
142,keerati.panyanearamitdee,3174.766355
143,man.thanakon,2800.93
144,tum.pitoon,2800.93
145,tawee.kamonbutr,2800.93
146,white.waiwit,2792.52
147,aon.kritsana,2775.700935
148,ploy.patchara,2775.700935
149,naruemol,2775.7
150,nan.nantpipat,2775.7
151,joke.warong,2614.953271
152,joke.warong,2614.953271
153,pakorn,2520.56
154,aom.santi,2429.91
155,aom.santi,2429.91
156,pichart.yapan,2054.21
157,x.vorachai,2054.21
158,woratep,1867.29
159,white.waiwit,1867.29
160,white.waiwit,1858.88
161,ploy.patchara,1850.47
162,ammy.pattamanan,1850.47
163,khunpon.ratchapon,1850.47
164,mark.mark,1850.47
165,nong.alongkon,1850.47
166,pakorn,1663.55
167,aom.santi,1214.95
168,krittin.koolpeng,999
169,nid.chanidaba,934.58
170,ying.petchararat,933.65
171,kwanrudee,933.64
172,tor.surat,933.64
173,man.thanakon,933.64
174,ung.chaiwut,933.64
175,krittin.koolpeng,933.64
176,ao.piti,933.64
177,aof.suebsakul,933.64
178,pote.sompote,925.23
179,aon.kritsana,925.23
180,aon.kritsana,925.23
181,keerati.panyanearamitdee,925.23
182,nong.alongkon,925.23
183,pang.papawadee,925.23
184,vichai.vongsilpavattana,925.23
185,wit.chatuwit,925.23
186,ying.petchararat,925.23
187,aon.kritsana,925.23
188,nan.nantpipat,925.23
189,nan.nantpipat,925.23
190,ruj.nopparuj,840.19
191,ung.chaiwut,677.57
192,ung.chaiwut,677.57
193,aom.santi,607.48
194,aom.santi,607.48
195,aon.kritsana,0
196,keerati.panyanearamitdee,0
197,ploy.patchara,0
198,ploy.patchara,0
199,tum.pitoon,0
200,woratep,0
201,aom.santi,0
